*INSULBATT45
-67.9637758559,29,71,538.511945919,-2.20701594844,45.31,-4485.69419889
-67.9637758559,79,71,538.511945919,-2.20701594844,45.31,-4485.69419889
-112.036224144,71,71,538.511945919,2.2070159475,45.31,-4485.69419889
67.9637758559,4.3764,29.322,538.511945919,2.20701594844,36.33,-4494.67419889
-67.3801379063,32,63,538.461526234,-7.69230674628,26,-1273.99996863
67.7509791602,58,39,538.50003501,4.20703109932,23.77,-2353.20280896
-67.7509791602,83,61,538.50003501,-4.20703109932,23.77,-2353.20280896
68.1985932859,54,29,315.682069523,18.569531509,10.77,-527.746468473
68.1985932859,67,61,315.682069523,18.569531509,10.77,-527.746468473
-68.1985932859,92,39,315.682069523,-18.569531509,10.77,-527.746468473
-68.1985932859,79,71,315.682069523,-18.569531509,10.77,-527.746468473
-68.1985932859,42,39,315.682069523,-18.569531509,10.77,-527.746468473
-24.9047718788,4.41,99.988,1431.77827149,3.23931765442,9.4707,-3077.59874131
23.9624919584,87,96,761.509530994,-10.1534613827,9.8489,-975.036761454
69.4439574236,18,63,316.011091976,11.7041132402,8.544,-845.856356867
-69.4439574236,29,71,316.011091976,-11.7041132402,8.544,-845.856356867
-83.1572275384,3.1531,22.057,1711.7196605,-3.971506792,7.1078,-2510.82784889
81.8698987714,71,71,98.9949493098,14.1421336313,7.0711,-700.035676816
81.8698987714,53,22,98.9949493098,14.1421336313,7.0711,-700.035676816
81.8698987714,46,15,98.9949493098,14.1421336313,7.0711,-700.035676816
81.8698987714,28,78,98.9949493098,14.1421336313,7.0711,-700.035676816
81.8698987714,96,15,98.9949493098,14.1421336313,7.0711,-700.035676816
80.3802735249,3.151,22.057,608.273953232,1.6710820675,7.3674,-5976.77827651
-101.496561447,22.547,78.635,509.89924183,1.66090936767,7.7897,-6013.00753551
63.4349520388,29,85,134.164069412,-44.721354379,6.7082,-216.89859072
63.4349520388,43,9,134.164069412,-44.721354379,6.7082,-216.89859072
63.4349520388,79,85,134.164069412,-44.721354379,6.7082,-216.89859072
63.4349520388,93,9,134.164069412,-44.721354379,6.7082,-216.89859072
45.0000040198,82,91,70.710682841,70.710672919,7.0711,-134.350245838
45.0000040198,32,91,70.710682841,70.710672919,7.0711,-134.350245838
45.0000040198,88,4,70.710682841,70.710672919,7.0711,-134.350245838
45.0000040198,38,4,70.710682841,70.710672919,7.0711,-134.350245838
27.6994761169,32.385,1.0503,2370.65261582,-2.21349468406,6.3425,-4511.39978703
26.5650543929,82,1,134.164068157,44.7213581441,6.7082,-216.898571894
-26.5650543929,62,4,134.164068157,-44.7213581441,6.7082,-216.898571894
-26.5650543929,12,4,134.164068157,-44.7213581441,6.7082,-216.898571894
-45.0000040198,57,9,70.7106629971,70.710672919,7.0711,-134.350245838
-45.0000040198,7,9,70.7106629971,70.710672919,7.0711,-134.350245838
-45.0000040198,13,96,70.7106629971,70.710672919,7.0711,-134.350245838
-45.0000040198,63,96,70.7106629971,70.710672919,7.0711,-134.350245838
-63.4349520388,4,15,134.164069412,44.721354379,6.7082,-216.89859072
-63.4349520388,68,91,134.164069412,44.721354379,6.7082,-216.89859072
-63.4349520388,18,91,134.164069412,44.721354379,6.7082,-216.89859072
-63.4349520388,54,15,134.164069412,44.721354379,6.7082,-216.89859072
-78.4398707842,77.514,78.284,509.897085285,-2.22662453869,7.4344,-4483.66787411
-76.3286947141,21,85,3395.58431584,-2.62612829705,6.5507,-3801.33581023
-81.8698987714,28,78,98.9949493098,-14.1421336313,7.0711,-700.035676816
-81.8698987714,46,29,98.9949493098,-14.1421336313,7.0711,-700.035676816
-81.8698987714,71,85,98.9949493098,-14.1421336313,7.0711,-700.035676816
-81.8698987714,96,29,98.9949493098,-14.1421336313,7.0711,-700.035676816
-81.8698987714,53,22,98.9949493098,-14.1421336313,7.0711,-700.035676816
-102.425941176,79,85,5119.56997645,1.65521155012,6.8779,-6034.64502715
-0.170522673761,0,100,99.9995427481,0.297617728511,4.4114,-33595.7325811
18.4349512348,79,0,94.868314842,-31.6227760512,3.1623,-313.065425014
15.4612198061,28.592,0,3008.32068994,-2.05066192908,3.9356,-4872.53788401
-18.4349512348,18,1,94.868314842,31.6227760512,3.1623,-313.065425014
-18.4349512348,68,1,94.868314842,31.6227760512,3.1623,-313.065425014
23.6293806829,37,96,761.555691785,-5.72598319473,9.9896,-1736.43510808
156.370619317,63,96,761.555691785,5.72598319473,9.9896,-1736.43510808
0,92.308,100,0,99.9999996625
